match_id,radiant_hero_1,radiant_hero_2,radiant_hero_3,radiant_hero_4,radiant_hero_5,dire_hero_1,dire_hero_2,dire_hero_3,dire_hero_4,dire_hero_5,radiant_win
7116526799,69,71,93,101,52,53,106,135,128,92,False
7116656225,101,126,8,9,104,21,128,56,19,64,True
7116662198,88,42,85,106,16,93,56,51,71,90,True
7116708252,9,2,86,138,31,52,38,54,51,26,True
7116718813,66,137,43,136,46,58,106,69,95,110,False
7116725362,12,84,88,60,136,26,106,111,38,42,False
7116745753,91,138,61,119,50,84,136,114,43,74,False
7116766639,5,100,18,22,138,52,136,87,78,66,False
7116779080,137,37,72,30,20,19,138,84,43,109,True
7116800090,85,9,106,86,91,5,109,104,84,74,True
7116809609,5,137,78,100,46,51,107,69,10,86,False
7116836149,100,138,77,69,10,14,38,121,46,18,True
7116837657,107,63,97,80,37,46,3,93,104,121,True
7116890950,62,3,86,42,94,77,138,9,84,2,False
7116901137,75,9,138,10,98,100,46,99,85,86,False
7116923640,98,5,49,105,43,48,136,47,84,106,False
7116943970,58,62,38,7,46,87,137,92,136,109,True
7116947149,10,5,105,16,17,128,25,84,41,138,False
7116959751,62,123,135,84,138,13,19,6,31,129,True
7117011841,5,40,27,98,138,111,62,43,84,11,False
7117015096,48,84,5,85,74,69,18,9,75,106,True
7117024077,90,137,71,59,63,13,58,40,101,114,False
7117047135,19,94,86,45,97,106,32,137,51,90,True
7117082512,65,61,105,58,59,68,76,137,88,109,True
7117102847,119,43,4,102,82,38,84,126,86,11,False
7117103038,45,129,64,1,72,9,68,93,20,74,False
7117174952,14,62,83,74,73,1,111,9,30,32,True
7117183575,100,19,44,87,39,6,11,105,85,71,True
7117216019,123,20,85,48,74,38,84,41,126,86,False
7117225221,62,137,5,135,86,106,114,77,9,75,False
7117235825,43,9,111,41,19,11,123,105,73,126,False
7117266213,51,49,44,128,138,32,12,40,37,58,False
7117270646,105,85,104,51,11,5,22,119,40,73,True
7117336146,137,46,58,43,107,54,17,136,62,5,False
7117348221,85,22,66,86,6,138,56,84,71,128,True
7117353476,64,66,16,38,12,60,138,84,100,120,True
7117372632,46,87,129,84,74,126,42,101,40,96,True
7117458330,87,9,69,13,12,43,48,3,86,120,True
7117489825,5,8,16,32,111,38,106,136,62,64,True
7117600317,108,44,19,86,5,27,111,16,85,14,False
7117681788,96,10,64,86,22,66,47,128,93,137,False
7117759871,54,98,128,32,87,108,89,58,119,21,False
7117906782,10,21,69,39,58,137,51,109,9,68,False
7117937155,49,34,103,2,30,10,14,138,9,98,False
7118049698,94,138,84,98,9,109,11,58,49,64,False
7118080222,52,93,9,69,104,12,58,135,35,128,True
7118176377,71,43,1,62,100,138,104,6,136,88,False
7118295482,9,89,62,98,52,86,76,104,109,51,True
7118302158,13,86,70,129,20,74,12,62,5,21,True
7118387554,49,10,48,86,37,97,17,88,111,1,False
7118424970,68,89,32,98,52,19,43,18,108,3,False
7118459209,129,39,110,111,14,49,123,76,48,20,False
7118503468,69,52,70,58,19,67,68,16,101,106,False
7118527355,58,41,114,128,49,51,43,69,109,9,False
7118528463,86,46,138,119,135,105,129,106,35,30,False
7118560271,104,128,87,46,100,95,126,38,123,83,True
7118567382,105,35,11,129,68,62,82,32,26,43,False
7118627962,65,107,53,75,46,95,61,106,123,91,True
7118661066,4,32,82,87,65,101,44,129,126,84,True
7118719303,105,12,104,126,72,93,88,106,5,52,False
7118748043,46,135,62,86,68,17,43,51,89,87,False
7118787769,86,65,138,100,60,114,120,102,73,26,False
7118795304,84,98,19,11,86,87,39,38,123,1,True
7118839686,106,109,100,63,9,114,120,50,73,128,True
7118878021,38,12,16,68,66,138,69,111,99,84,True
7118900508,138,106,51,41,111,81,11,64,120,114,False
7118916773,71,119,95,19,5,14,38,58,106,10,False
7118934075,64,98,74,109,86,120,55,4,100,58,False
7118937116,111,108,85,44,16,32,76,1,9,5,False
7118963590,88,64,38,93,13,71,9,72,5,22,True
7119026256,54,62,16,58,5,82,14,32,9,66,True
7119027394,52,70,86,2,84,81,90,107,19,48,True
7119030305,46,77,43,85,101,69,21,5,86,62,False
7119033460,98,46,102,90,106,49,76,48,3,9,False
7119036519,53,120,69,62,26,114,135,39,85,86,False
7119094414,31,12,106,9,60,91,10,36,86,38,False
7119100049,109,40,69,58,119,16,43,107,3,42,True
7119101952,138,73,126,123,51,32,96,27,68,128,True
7119118380,136,85,9,106,46,65,70,53,86,84,False
7119126431,136,84,32,50,58,138,13,62,128,85,False
7119149752,100,44,86,111,129,97,84,96,90,95,False
7119155871,26,58,39,104,93,10,120,69,62,87,False
7119188329,138,84,11,69,32,106,3,49,79,46,True
7119197773,58,70,45,40,51,89,114,49,5,98,True
7119210415,2,58,31,57,106,126,138,40,51,86,True
7119239165,121,114,119,106,135,129,76,138,128,111,False
7119251557,63,64,129,138,19,84,88,128,54,57,False
7119259890,46,13,62,128,114,93,38,104,9,51,True
7119260493,13,41,43,110,109,138,104,88,120,5,True
7119260537,80,120,62,100,66,101,20,17,104,12,True
7119269951,64,15,49,86,108,106,105,91,138,16,True
7119305161,93,19,58,38,101,104,12,5,9,17,False
7119331101,10,88,86,6,104,30,73,46,103,57,True
7119347599,38,17,53,138,84,106,85,96,119,46,True
7119375495,138,106,69,9,114,6,126,137,51,66,True
7119394028,22,110,51,138,2,66,12,98,128,16,False
7119417942,32,54,5,14,58,109,78,111,119,137,True
7119501810,109,97,86,106,5,137,32,50,91,84,True
7119533391,75,128,38,1,23,121,12,126,69,26,True
7119559061,58,38,5,16,54,93,69,86,85,32,False
